"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"52","충청북도 청주시 흥덕구 강서동","583","0583","0000","가경아이파크5단지","84.7993","202511","01","58,700","-","12","개인","개인","2023","서부로 1123","-","중개거래","충북 청주시 흥덕구","-"
"53","충청북도 청주시 흥덕구 봉명동","1602","1602","0000","주공2","39.7200","202510","31","10,500","102","4","법인","개인","1985","직지대로581번길 33-12","-","직거래","-","25.10.31"
"54","충청북도 청주시 흥덕구 복대동","221-12","0221","0012","주은","59.6443","202510","31","15,800","-","7","개인","개인","2002","죽천로143번길 19","-","중개거래","충북 청주시 흥덕구","-"
"55","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","18.2800","202510","31","6,700","-","19","기타","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구","-"
"56","충청북도 청주시 흥덕구 비하동","300","0300","0000","효성아파트","45.3200","202510","31","10,000","-","5","개인","개인","1995","2순환로1050번길 13-14","-","중개거래","충북 청주시 흥덕구","-"
"57","충청북도 청주시 흥덕구 가경동","1550","1550","0000","2단지주공","59.9200","202510","31","17,700","207동","8","개인","개인","2002","가경로 26","-","중개거래","충북 청주시 흥덕구","25.10.31"
"58","충청북도 청주시 흥덕구 강서동","472","0472","0000","우양센트럴","22.4640","202510","31","6,200","-","20","개인","개인","2016","가로수로1164번길 41-44","-","중개거래","충북 청주시 흥덕구","-"
"59","충청북도 청주시 흥덕구 가경동","1759","1759","0000","가로수마을호반베르디움","84.9267","202510","31","40,000","203","10","개인","개인","2008","서현중로 47","-","중개거래","충북 청주시 흥덕구","25.10.31"
"60","충청북도 청주시 흥덕구 송절동","851","0851","0000","청주테크노폴리스푸르지오","84.9950","202510","31","50,000","-","5","개인","개인","2018","송화로214번길 7","-","중개거래","충북 청주시 흥덕구","-"
"61","충청북도 청주시 흥덕구 가경동","1506","1506","0000","진로","134.8800","202510","31","32,000","-","10","개인","개인","1999","가경로 71","-","중개거래","충북 청주시 청원구, 충북 청주시 흥덕구","-"
"62","충청북도 청주시 흥덕구 비하동","300","0300","0000","효성아파트","59.9000","202510","31","12,900","-","15","개인","개인","1995","2순환로1050번길 39","-","중개거래","충북 청주시 흥덕구","-"
"63","충청북도 청주시 흥덕구 가경동","1550","1550","0000","2단지주공","59.9200","202510","31","20,350","-","5","개인","개인","2002","가경로 26","-","중개거래","충북 청주시 흥덕구","-"
"64","충청북도 청주시 흥덕구 가경동","1761","1761","0000","가로수마을한라비발디","84.9620","202510","30","39,200","-","15","개인","개인","2008","서현서로 40","-","중개거래","충북 청주시 흥덕구","-"
"65","충청북도 청주시 흥덕구 송절동","850","0850","0000","테크노폴리스우미린","84.9821","202510","30","42,800","-","2","개인","개인","2018","송화로214번길 29","-","중개거래","충북 청주시 흥덕구","-"
"66","충청북도 청주시 흥덕구 송절동","850","0850","0000","테크노폴리스우미린","84.9361","202510","30","47,000","-","15","개인","개인","2018","송화로214번길 29","-","중개거래","충북 청주시 흥덕구","-"
"67","충청북도 청주시 흥덕구 송절동","850","0850","0000","테크노폴리스우미린","84.9967","202510","30","47,700","-","11","개인","개인","2018","송화로214번길 29","-","중개거래","충북 청주시 흥덕구","-"
"68","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","59.9822","202510","30","34,450","213동","9","개인","개인","2023","오송생명7로 151","-","중개거래","충북 청주시 흥덕구","25.10.30"
"69","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","59.9800","202510","30","32,500","-","6","개인","개인","2023","오송생명7로 151","-","중개거래","충북 청주시 흥덕구","-"
"70","충청북도 청주시 흥덕구 가경동","2258","2258","0000","가경자이","84.8390","202510","30","59,500","-","8","개인","개인","2020","서현로 30","-","중개거래","충북 청주시 흥덕구","-"
"71","충청북도 청주시 흥덕구 가경동","1581","1581","0000","가경주공7단지","84.9100","202510","30","31,500","-","13","개인","개인","2005","풍년로 40","-","중개거래","충북 청주시 흥덕구","-"
"72","충청북도 청주시 흥덕구 가경동","2276","2276","0000","청주가경아이파크3단지","105.6400","202510","30","75,500","-","5","개인","개인","2021","서현로 62","-","중개거래","충북 청주시 흥덕구","-"
"73","충청북도 청주시 흥덕구 비하동","824","0824","0000","서청주파크자이","74.3861","202510","30","44,500","-","15","개인","개인","2019","2순환로 1106","-","중개거래","충북 청주시 흥덕구","-"
"74","충청북도 청주시 흥덕구 복대동","2456","2456","0000","아름다운나날영조1","59.3291","202510","30","17,800","-","3","개인","개인","2003","증안로 21","-","중개거래","충북 청주시 흥덕구","-"
"75","충청북도 청주시 흥덕구 복대동","2456","2456","0000","아름다운나날영조1","59.3291","202510","30","20,400","-","11","개인","개인","2003","증안로 21","-","중개거래","충북 청주시 흥덕구","-"
"76","충청북도 청주시 흥덕구 가경동","1517","1517","0000","동부","84.9400","202510","29","25,600","-","2","개인","개인","1998","가경로 64","-","중개거래","충북 청주시 흥덕구","-"
"77","충청북도 청주시 흥덕구 복대동","3098","3098","0000","하복대현대1","181.0925","202510","29","41,600","-","10","개인","개인","1999","대신로10번길 16-3","-","중개거래","충북 청주시 흥덕구","-"
"78","충청북도 청주시 흥덕구 옥산면 가락리","981","0981","0000","청주리버파크자이","84.9880","202510","29","32,000","113동","23","개인","개인","2019","오송가락로 1056","-","직거래","-","25.10.30"
"79","충청북도 청주시 흥덕구 옥산면 가락리","981","0981","0000","청주리버파크자이","84.9630","202510","29","34,000","-","7","개인","개인","2019","오송가락로 1056","-","중개거래","충북 청주시 흥덕구","-"
"80","충청북도 청주시 흥덕구 가경동","1581","1581","0000","가경주공7단지","84.9100","202510","29","27,000","703","3","개인","개인","2005","풍년로 40","-","중개거래","충북 청주시 흥덕구","25.10.29"
"81","충청북도 청주시 흥덕구 강서동","583","0583","0000","가경아이파크5단지","84.7993","202510","29","59,300","-","21","개인","개인","2023","서부로 1123","-","중개거래","충북 청주시 상당구, 충북 청주시 흥덕구","-"
"82","충청북도 청주시 흥덕구 가경동","1550","1550","0000","2단지주공","59.9200","202510","29","17,700","-","2","개인","개인","2002","가경로 26","-","중개거래","충북 청주시 흥덕구","-"
