"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 서원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"44","충청북도 청주시 서원구 산남동","678","0678","0000","대원칸타빌1차","84.9992","202510","27","28,000","-","8","개인","개인","2007","두꺼비로 63","-","중개거래","충북 청주시 서원구","-"
"45","충청북도 청주시 서원구 수곡동","1057","1057","0000","더샵청주퍼스트파크","63.9348","202510","27","31,000","-","4","개인","개인","2021","수곡로 20","-","중개거래","충북 청주시 서원구","-"
"46","충청북도 청주시 서원구 수곡동","324","0324","0000","주공1","39.3000","202510","27","9,000","-","2","개인","개인","1990","구룡산로 319","-","중개거래","충북 청주시 서원구","-"
"47","충청북도 청주시 서원구 개신동","11","0011","0000","삼익2","84.9600","202510","27","17,900","-","9","개인","개인","1993","창직로12번길 65","-","중개거래","충북 청주시 서원구","-"
"48","충청북도 청주시 서원구 개신동","613","0613","0000","휴먼시아","49.9300","202510","26","14,250","-","3","개인","개인","2001","경신로 67","-","중개거래","충북 청주시 서원구","-"
"49","충청북도 청주시 서원구 산남동","678","0678","0000","대원칸타빌1차","84.9992","202510","26","29,200","-","9","개인","개인","2007","두꺼비로 63","-","중개거래","충북 청주시 서원구","-"
"50","충청북도 청주시 서원구 수곡동","1057","1057","0000","더샵청주퍼스트파크","76.9922","202510","26","36,900","-","18","개인","개인","2021","수곡로 20","-","중개거래","충북 청주시 서원구","-"
"51","충청북도 청주시 서원구 분평동","1261","1261","0000","분평주공4","49.7600","202510","26","12,800","-","14","개인","개인","1999","1순환로1137번길 80","-","중개거래","충북 청주시 서원구","-"
"52","충청북도 청주시 서원구 분평동","1202","1202","0000","분평주공2","39.6900","202510","26","8,500","-","5","개인","개인","1997","1순환로1137번길 129","-","중개거래","충북 청주시 서원구","-"
"53","충청북도 청주시 서원구 모충동","552","0552","0000","동일센타시아","69.7627","202510","26","22,500","-","2","개인","개인","2016","매봉로 190","-","중개거래","충북 청주시 서원구","-"
"54","충청북도 청주시 서원구 모충동","487-35","0487","0035","그린맨션","73.6200","202510","26","8,000","-","6","개인","개인","1987","모충로96번길 51","-","중개거래","충북 청주시 서원구","-"
"55","충청북도 청주시 서원구 분평동","301-2","0301","0002","보성","156.7400","202510","26","27,000","-","9","개인","개인","1992","매봉로2번길 55","-","중개거래","충북 청주시 서원구","-"
"56","충청북도 청주시 서원구 산남동","679","0679","0000","대우푸르지오","84.9550","202510","26","29,000","-","4","개인","개인","2007","두꺼비로 53","-","중개거래","충북 청주시 서원구","-"
"57","충청북도 청주시 서원구 수곡동","324","0324","0000","주공1","46.6800","202510","25","10,500","-","2","개인","법인","1990","구룡산로 319","-","중개거래","충북 청주시 서원구","-"
